away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance,result,Date,away_team,home_team,month,year
12,12,0,20,20,0,0,7,50,0,2,2,0,20,20,0,0,7,50,0,1,7,Santo Andre,America Volei,11,2010
7,6,0,20,20,0,0,7,50,0,8,1,0,20,20,0,0,7,50,0,1,9,Fatima UCS,Cimed,11,2010
13,3,0,20,20,0,0,7,50,0,11,5,0,20,20,0,0,7,50,0,1,11,Sada Cruzeiro,Sesi,11,2010
15,8,0,20,20,0,0,7,50,0,11,4,0,20,20,0,0,7,50,0,1,11,Minas,Pinheiros,11,2010
13,3,0,20.4,20.64,-0.2,-0.2,2,0,0,3,4,1,20.85,20.55,0.4,0.4,2,100,0,0,13,Sada Cruzeiro,Pinheiros,11,2010
15,8,0,20.55,20.85,-0.4,-0.4,2,0,0,4,5,1,20.64,20.4,0.2,0.2,2,100,0,1,13,Minas,Sesi,11,2010
12,14,0,20,20,0,0,7,50,0,2,2,1,21.3333333333,20.0666666667,0.6,0.6,7,100,0,1,14,Londrina,America Volei,11,2010
9,13,0,20,20,0,0,7,50,0,3,1,1,21.1333333333,20.4,0.6,0.6,5,100,0,1,14,Volta Redonda,Cimed,11,2010
12,14,0,19.2,21,-0.6,-0.6,5,0,0,7,9,0,20,20,0,0,7,50,0,0,19,Londrina,Ulbra Sao Caetano,11,2010
14,12,0,20.0666666667,21.3333333333,-0.6,-0.6,7,0,0,11,12,0,20,20,0,0,7,50,0,1,19,Santo Andre,Sao Bernardo,11,2010
10,11,0,20,20,0,0,7,50,0,8,9,0,20,20,0,0,7,50,0,1,19,Blumenau,Medley,11,2010
1,2,1,22.0666666667,19.2533333333,0,1.08,5,100,0,12,6,0,20.4,21.1333333333,-0.6,0,7,0,0,0,19,America Volei,Fatima UCS,11,2010
15,8,0,21.09,21.68,-0.72,-0.72,7,0,0,8,3,1,21.6533333333,21.4453333333,0.44,0,7,50,0,1,20,Minas,Sada Cruzeiro,11,2010
7,14,1,20.04,21.28,-0.28,-0.28,1,50,0,6,12,1,20.32,20,0.2,0.2,1,100,0,1,20,Londrina,Sao Bernardo,11,2010
1,2,1,22.0133333333,19.2826666667,0.2,1.064,2,100,0,11,13,0,20.3333333333,21,-0.6,0,7,0,0,0,21,America Volei,Volta Redonda,11,2010
3,1,1,21.9066666667,20.6533333333,0,1.08,7,100,0,6,9,1,21,19.5333333333,0.6,0.6,2,100,0,0,21,Cimed,Medley,11,2010
